time_step,semantic_scenario_key,semantic_param_path,scenario_name,action_value,prior_action,score,env_reward,planning_time_seconds,method,price_weight,carbon_weight,low_q,high_q,smooth_weight,peak_charge_penalty_weight
60,cost_priority,semantic_params/cost_priority.json,cost_优先,0.1,0.0,0.378207468134502,-0.4837499260902405,0.11960101127624512,llm_cc_mcts_dynamic_tune_c_real,0.55,0.45,0.2,0.8,0.3,1.0
61,cost_priority,semantic_params/cost_priority.json,cost_优先,0.1,0.0,0.3895103754485387,-1.520533263683319,0.12653017044067383,llm_cc_mcts_dynamic_tune_c_real,0.55,0.45,0.2,0.8,0.3,1.0
62,cost_priority,semantic_params/cost_priority.json,cost_优先,0.0,0.0,0.38556969715173306,-3.683616429567337,0.12560772895812988,llm_cc_mcts_dynamic_tune_c_real,0.55,0.45,0.2,0.8,0.3,1.0
63,cost_priority,semantic_params/cost_priority.json,cost_优先,0.0,0.0,0.38973419054820013,-2.951349914073944,0.12552285194396973,llm_cc_mcts_dynamic_tune_c_real,0.55,0.45,0.2,0.8,0.3,1.0
64,cost_priority,semantic_params/cost_priority.json,cost_优先,0.0,-0.1,0.9303541474556835,-4.247216641902924,0.12913012504577637,llm_cc_mcts_dynamic_tune_c_real,0.55,0.45,0.2,0.8,0.3,1.0
65,cost_priority,semantic_params/cost_priority.json,cost_优先,0.0,-0.1,0.927029253356044,-5.23459991812706,0.12450695037841797,llm_cc_mcts_dynamic_tune_c_real,0.55,0.45,0.2,0.8,0.3,1.0
66,cost_priority,semantic_params/cost_priority.json,cost_优先,-0.1,-0.1,0.932253755498411,-2.5106582641601562,0.15334296226501465,llm_cc_mcts_dynamic_tune_c_real,0.55,0.45,0.2,0.8,0.3,1.0
67,cost_priority,semantic_params/cost_priority.json,cost_优先,-0.1,-0.1,0.9350367467333545,-3.5352498292922974,0.1580650806427002,llm_cc_mcts_dynamic_tune_c_real,0.55,0.45,0.2,0.8,0.3,1.0
68,cost_priority,semantic_params/cost_priority.json,cost_优先,-0.1,-0.1,0.9229603735998697,-5.836766481399536,0.14999103546142578,llm_cc_mcts_dynamic_tune_c_real,0.55,0.45,0.2,0.8,0.3,1.0
69,cost_priority,semantic_params/cost_priority.json,cost_优先,0.0,0.0,0.37309347935375575,-7.564500058110561,0.15465593338012695,llm_cc_mcts_dynamic_tune_c_real,0.55,0.45,0.2,0.8,0.3,1.0
70,cost_priority,semantic_params/cost_priority.json,cost_优先,0.0,0.0,0.3240849115409852,-5.772466743319399,0.14346027374267578,llm_cc_mcts_dynamic_tune_c_real,0.55,0.45,0.2,0.8,0.3,1.0
71,cost_priority,semantic_params/cost_priority.json,cost_优先,0.1,0.0,0.2855049566800457,-8.896516799926758,0.1601579189300537,llm_cc_mcts_dynamic_tune_c_real,0.55,0.45,0.2,0.8,0.3,1.0
72,cost_priority,semantic_params/cost_priority.json,cost_优先,0.0,0.0,0.24059059814970687,-3.135041882276539,0.15824007987976074,llm_cc_mcts_dynamic_tune_c_real,0.55,0.45,0.2,0.8,0.3,1.0
73,cost_priority,semantic_params/cost_priority.json,cost_优先,0.0,0.0,0.22924173583803173,-1.5547501943937618,0.1609480381011963,llm_cc_mcts_dynamic_tune_c_real,0.55,0.45,0.2,0.8,0.3,1.0
74,cost_priority,semantic_params/cost_priority.json,cost_优先,0.0,0.0,0.20334135868587927,-1.5643168887992687,0.15185880661010742,llm_cc_mcts_dynamic_tune_c_real,0.55,0.45,0.2,0.8,0.3,1.0
75,cost_priority,semantic_params/cost_priority.json,cost_优先,0.0,0.0,0.20089429231093187,-1.578850199894113,0.18353581428527832,llm_cc_mcts_dynamic_tune_c_real,0.55,0.45,0.2,0.8,0.3,1.0
76,cost_priority,semantic_params/cost_priority.json,cost_优先,0.0,0.0,0.20922136342540973,-1.5696835104147624,0.18863606452941895,llm_cc_mcts_dynamic_tune_c_real,0.55,0.45,0.2,0.8,0.3,1.0
77,cost_priority,semantic_params/cost_priority.json,cost_优先,0.0,0.0,0.22381536375698763,-3.626466825604439,0.4831669330596924,llm_cc_mcts_dynamic_tune_c_real,0.55,0.45,0.2,0.8,0.3,1.0
